scope,pitch_type,metric,value,sample_n
overall,,heater_velocity,87.72338958333334,96
overall,,heater_velocity,92.10827157635468,203
overall,,heater_velocity,91.90435424403184,377
overall,,heater_velocity,95.12853312267659,269
overall,,heater_velocity,88.94360721611723,273
overall,,heater_velocity,90.22098235294118,204
overall,,heater_velocity,84.48247255319149,47
overall,,heater_velocity,87.06715770700637,314
overall,,heater_velocity,88.2975445882353,85
overall,,heater_velocity,85.98062272727273,55
overall,,heater_velocity,92.07413579710145,345
overall,,heater_velocity,84.94276393939393,198
overall,,heater_velocity,87.63229793650792,63
overall,,heater_velocity,90.24219711111111,45
overall,,heater_velocity,90.24398486956521,230
overall,,heater_velocity,90.05362755319149,94
overall,,heater_velocity,90.56368198924731,186
overall,,heater_velocity,89.68419074468085,94
overall,,heater_velocity,92.69843335092348,379
overall,,heater_velocity,95.97021836065574,122
overall,,heater_velocity,94.25941845454545,110
overall,,heater_velocity,81.06462553435115,262
overall,,heater_velocity,86.09003496240601,399
overall,,heater_velocity,87.21969421052631,152
overall,,heater_velocity,92.02903495867768,121
overall,,heater_velocity,88.8356512,300
overall,,heater_velocity,87.36103346153845,26
overall,,heater_velocity,94.37052943866944,481
overall,,heater_velocity,86.39306923076923,65
overall,,heater_velocity,87.58587407407407,27
overall,,heater_velocity,89.14458765957447,47
overall,,heater_velocity,90.09753333333333,192
overall,,heater_velocity,81.69443795847751,289
overall,,heater_velocity,89.11181890243903,82
overall,,heater_velocity,83.64274930232558,43
overall,,heater_velocity,91.77570955182073,714
overall,,heater_velocity,88.92508172413793,87
overall,,heater_velocity,88.83072286516854,534
overall,,heater_velocity,90.01263747967481,246
overall,,heater_velocity,93.40590314935065,308
overall,,heater_velocity,88.04883529411765,34
overall,,heater_velocity,86.07372867052023,173
overall,,heater_velocity,87.78146900662252,302
overall,,heater_velocity,91.7133479661017,59
overall,,heater_velocity,91.98201608585858,396
overall,,heater_velocity,85.698107578125,128
overall,,heater_velocity,93.72296573476702,279
overall,,heater_velocity,87.88043156862744,51
overall,,heater_velocity,89.11240097276266,257
overall,,heater_velocity,89.23542531400966,207
overall,,heater_velocity,88.18821888888888,108
overall,,heater_velocity,89.00135661290322,62
overall,,heater_velocity,82.9165065641953,553
overall,,heater_velocity,90.75092007462686,134
overall,,heater_velocity,86.0467045652174,46
overall,,heater_velocity,89.90532103225806,155
overall,,heater_velocity,87.59937796747968,123
overall,,heater_velocity,88.55795197674419,86
overall,,heater_velocity,85.53687188679245,53
overall,,heater_velocity,89.30825349999999,100
overall,,heater_velocity,87.32167970588235,34
overall,,heater_velocity,87.5376588429752,121
overall,,heater_velocity,91.70959511450381,131
overall,,heater_velocity,86.19495086206896,58
overall,,heater_velocity,94.76041753554503,211
overall,,heater_velocity,88.94791471014493,138
overall,,heater_velocity,91.00815675257732,388
overall,,heater_velocity,87.69340315384616,130
overall,,heater_velocity,88.38724035175879,199
overall,,heater_velocity,90.33490442477876,113
overall,,heater_velocity,91.80420860383944,573
overall,,heater_velocity,89.30981843822843,429
overall,,heater_velocity,83.6460647413793,116
overall,,heater_velocity,80.32017301775147,169
overall,,heater_velocity,89.30597911057693,416
overall,,heater_velocity,93.14163666666666,108
