co,team_abbr,Team,Primary Color,Secondary Color,NCAA_img,bref_name
161,YAL_BUL,Yale,#00356B,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/yale.svg,Yale Bulldogs
162,HAR_CRI,Harvard,#A31F36,#1E1E1E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/harvard.svg,Harvard Crimson
163,BRO_BEA,Brown,#4E3629,#C00404,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/brown.svg,Brown Bears
164,COR_BRE,Cornell,#B31B1B,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cornell.svg,Cornell Big Red
165,PRI_TIG,Princeton,#FF8F00,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/princeton.svg,Princeton Tigers
166,FAI_STA,Fairfield,#CC0000,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/fairfield.svg,Fairfield Stags
167,MAR_RED,Marist,#C8102E,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/marist.svg,Marist Red Foxes
168,MSM_MTN,Mount St. Mary's,#002F6C,#84754E,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/mt-st-marys.svg,Mount St. Mary's Mountaineers
169,CAN_GRI,Canisius,#041E42,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/canisius.svg,Canisius Golden Griffins
170,NIA_EAG,Niagara,#582C83,#C7C8CA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/niagara.svg,Niagara Purple Eagles
171,RID_BRO,Rider,#8B0000,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/rider.svg,Rider Broncs
172,MAN_JAS,Manhattan,#046A38,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/manhattan.svg,Manhattan Jaspers
173,QUI_BOB,Quinnipiac,#0A2240,#FFB819,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/quinnipiac.svg,Quinnipiac Bobcats
174,SIE_SAI,Siena,#046A38,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/siena.svg,Siena Saints
175,SPU_PEA,Saint Peter's,#003DA5,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-peters.svg,Saint Peter's Peacocks
176,ION_GAE,Iona,#661E2B,#EAAF0F,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/iona.svg,Iona Gaels
177,BAL_CAR,Ball St.,#BA0C2F,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ball-st.svg,Ball State Cardinals
178,CEN_MIC,Central Mich.,#800020,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/central-mich.svg,Central Michigan Chippewas
179,TOL_ROC,Toledo,#041E42,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/toledo.svg,Toledo Rockets
180,OHI_BOB,Ohio,#00694E,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/ohio.svg,Ohio Bobcats
