"TaggedPitchType","Percentile","Value","Stat"
"Four-Seam",98,96.4789443552406,"AvgVelo"
"Four-Seam",99,96.6986966041702,"AvgVelo"
"Four-Seam",100,97.7832556129032,"AvgVelo"
"Sinker",1,85.7665585253212,"AvgVelo"
"Sinker",2,86.8356167229144,"AvgVelo"
"Sinker",3,87.1835080988506,"AvgVelo"
"Sinker",4,87.3726180380952,"AvgVelo"
"Sinker",5,87.6324348668831,"AvgVelo"
"Sinker",6,88.0479618606061,"AvgVelo"
"Sinker",7,88.2196526443357,"AvgVelo"
"Sinker",8,88.3810342674377,"AvgVelo"
"Sinker",9,88.4478211048414,"AvgVelo"
"Sinker",10,88.54026921138,"AvgVelo"
"Sinker",11,88.6471125819211,"AvgVelo"
"Sinker",12,88.7541200830657,"AvgVelo"
"Sinker",13,88.8431399061321,"AvgVelo"
"Sinker",14,88.8477180614142,"AvgVelo"
"Sinker",15,88.9189156545455,"AvgVelo"
"Sinker",16,89.1399002373984,"AvgVelo"
"Sinker",17,89.2103697836852,"AvgVelo"
"Sinker",18,89.2716394884953,"AvgVelo"
"Sinker",19,89.3533753790339,"AvgVelo"
"Sinker",20,89.4086288616836,"AvgVelo"
"Sinker",21,89.4936175285965,"AvgVelo"
"Sinker",22,89.4972494267836,"AvgVelo"
"Sinker",23,89.5346578747953,"AvgVelo"
"Sinker",24,89.5468682786967,"AvgVelo"
"Sinker",25,89.56184457269,"AvgVelo"
"Sinker",26,89.5867026789755,"AvgVelo"
"Sinker",27,89.6188315290504,"AvgVelo"
"Sinker",28,89.6689242537422,"AvgVelo"
"Sinker",29,89.7193153568706,"AvgVelo"
"Sinker",30,89.7560538742786,"AvgVelo"
"Sinker",31,89.8196641128163,"AvgVelo"
"Sinker",32,89.895214814696,"AvgVelo"
"Sinker",33,89.9400491337325,"AvgVelo"
"Sinker",34,89.9432176153006,"AvgVelo"
"Sinker",35,89.956051182377,"AvgVelo"
"Sinker",36,90.0420655803279,"AvgVelo"
"Sinker",37,90.0636386289216,"AvgVelo"
"Sinker",38,90.0676474712476,"AvgVelo"
"Sinker",39,90.0726249243081,"AvgVelo"
"Sinker",40,90.0788415723888,"AvgVelo"
"Sinker",41,90.1243641459644,"AvgVelo"
"Sinker",42,90.2624394449198,"AvgVelo"
"Sinker",43,90.385769584492,"AvgVelo"
"Sinker",44,90.4559229122257,"AvgVelo"
"Sinker",45,90.5239901654299,"AvgVelo"
"Sinker",46,90.561897943177,"AvgVelo"
"Sinker",47,90.6241544150571,"AvgVelo"
"Sinker",48,90.7028494332273,"AvgVelo"
"Sinker",49,90.7250182523962,"AvgVelo"
"Sinker",50,90.7322957055215,"AvgVelo"
"Sinker",51,90.8691819249866,"AvgVelo"
"Sinker",52,90.937312452592,"AvgVelo"
"Sinker",53,91.0006431118995,"AvgVelo"
"Sinker",54,91.059165387504,"AvgVelo"
"Sinker",55,91.1036118117677,"AvgVelo"
"Sinker",56,91.1325318895402,"AvgVelo"
"Sinker",57,91.1390038927566,"AvgVelo"
"Sinker",58,91.1563733095939,"AvgVelo"
"Sinker",59,91.3651061192797,"AvgVelo"
"Sinker",60,91.4645778934783,"AvgVelo"
"Sinker",61,91.5028301036337,"AvgVelo"
"Sinker",62,91.6163185826383,"AvgVelo"
"Sinker",63,91.8480468848649,"AvgVelo"
"Sinker",64,92.0410944803941,"AvgVelo"
"Sinker",65,92.1650164755337,"AvgVelo"
"Sinker",66,92.1938557423645,"AvgVelo"
"Sinker",67,92.2295329450249,"AvgVelo"
"Sinker",68,92.253841518408,"AvgVelo"
"Sinker",69,92.2623378271429,"AvgVelo"
"Sinker",70,92.2710202095238,"AvgVelo"
"Sinker",71,92.2878397210884,"AvgVelo"
"Sinker",72,92.345571755102,"AvgVelo"
"Sinker",73,92.5539868592555,"AvgVelo"
"Sinker",74,92.69932566515,"AvgVelo"
"Sinker",75,92.7612742513057,"AvgVelo"
"Sinker",76,92.8033348420791,"AvgVelo"
"Sinker",77,92.8847304392618,"AvgVelo"
"Sinker",78,92.9987342349281,"AvgVelo"
"Sinker",79,93.1310905536742,"AvgVelo"
"Sinker",80,93.175289145988,"AvgVelo"
"Sinker",81,93.1942323195652,"AvgVelo"
"Sinker",82,93.2340804672851,"AvgVelo"
"Sinker",83,93.288465767961,"AvgVelo"
"Sinker",84,93.3462269296341,"AvgVelo"
"Sinker",85,93.4445678327211,"AvgVelo"
"Sinker",86,93.7149645725007,"AvgVelo"
"Sinker",87,93.7553344002599,"AvgVelo"
"Sinker",88,94.0112869992395,"AvgVelo"
"Sinker",89,94.1414623984136,"AvgVelo"
"Sinker",90,94.3156356856717,"AvgVelo"
"Sinker",91,94.6085628426637,"AvgVelo"
"Sinker",92,94.7544926647312,"AvgVelo"
"Sinker",93,94.8260422234409,"AvgVelo"
"Sinker",94,94.9037567793137,"AvgVelo"
"Sinker",95,94.9426882075487,"AvgVelo"
"Sinker",96,95.1360517048753,"AvgVelo"
"Sinker",97,95.460792016202,"AvgVelo"
"Sinker",98,95.7322660616043,"AvgVelo"
"Sinker",99,95.8047375905882,"AvgVelo"
"Sinker",100,95.9109149197861,"AvgVelo"
"Slider",1,75.823925330336,"AvgVelo"
"Slider",2,76.3692753242869,"AvgVelo"
"Slider",3,76.8278532115353,"AvgVelo"
"Slider",4,77.6526835726191,"AvgVelo"
"Slider",5,77.8198165243204,"AvgVelo"
"Slider",6,77.8431439259659,"AvgVelo"
"Slider",7,78.6326911124714,"AvgVelo"
"Slider",8,78.6840760864286,"AvgVelo"
"Slider",9,78.7656398818003,"AvgVelo"
"Slider",10,78.8845065384496,"AvgVelo"
"Slider",11,79.0205881271826,"AvgVelo"
"Slider",12,79.1275499329519,"AvgVelo"
"Slider",13,79.2159524984907,"AvgVelo"
"Slider",14,79.3873376912564,"AvgVelo"
"Slider",15,79.4988479826827,"AvgVelo"
"Slider",16,79.6313651545891,"AvgVelo"
"Slider",17,79.7048151518594,"AvgVelo"
"Slider",18,79.778887713175,"AvgVelo"
"Slider",19,79.909252145,"AvgVelo"
"Slider",20,80.2151864932666,"AvgVelo"
"Slider",21,80.4974607315264,"AvgVelo"
"Slider",22,80.6529374800237,"AvgVelo"
"Slider",23,80.7121605817298,"AvgVelo"
"Slider",24,80.7550129960327,"AvgVelo"
"Slider",25,80.7815651148241,"AvgVelo"
"Slider",26,80.9186069055411,"AvgVelo"
"Slider",27,80.938248547009,"AvgVelo"
"Slider",28,81.0338852178755,"AvgVelo"
"Slider",29,81.125203560829,"AvgVelo"
"Slider",30,81.1610356899355,"AvgVelo"
"Slider",31,81.1904622891344,"AvgVelo"
"Slider",32,81.2179642335643,"AvgVelo"
"Slider",33,81.2921935156863,"AvgVelo"
"Slider",34,81.3765480960544,"AvgVelo"
"Slider",35,81.4169121082212,"AvgVelo"
"Slider",36,81.4419471335481,"AvgVelo"
"Slider",37,81.4719137427559,"AvgVelo"
"Slider",38,81.495155958364,"AvgVelo"
"Slider",39,81.6636177308392,"AvgVelo"
"Slider",40,81.6916720944976,"AvgVelo"
"Slider",41,81.7429005300382,"AvgVelo"
"Slider",42,82.0112320960134,"AvgVelo"
"Slider",43,82.0900744138342,"AvgVelo"
"Slider",44,82.1098074151869,"AvgVelo"
"Slider",45,82.2228724963551,"AvgVelo"
"Slider",46,82.37627683324,"AvgVelo"
"Slider",47,82.3963064192994,"AvgVelo"
"Slider",48,82.4623330379764,"AvgVelo"
"Slider",49,82.4854859764173,"AvgVelo"
"Slider",50,82.5232615224865,"AvgVelo"
"Slider",51,82.5477554579832,"AvgVelo"
"Slider",52,82.5831860734504,"AvgVelo"
