stat_type,player_name,team,program_name,source_group,njcaa_region,state,col_1,yr,pos,gp,tc,po,a,e,pb,f,dp,sba,rcs,rcs_1,ci,source_url,scraped_at,ab,h,rbi,bb,2b,3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,era,w,l,app,gs,sv,ip,r,er,k_9,whip,bf,wp,g,sb,cs,ops,gp_gs,tb,so,gdp,ob,sb_att,bio_link,w_l,app_gs,cg,sho,b_avg,bk,sfa,sha,c,fld,csb,no,gp_from_gp_gs,gs_from_gp_gs,app_from_app_gs,gs_from_app_gs,w_from_w_l,l_from_w_l,sb_from_sb_att,cs_from_sb_att,fpct,stats_team_name
hitting,James Dorotik,Alvin College,Alvin College,Region 14,14,TX,16,Fr,INF,44,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,129,32,23,17,6,,5,11,28,0.248,0.363,0.411,8,3,,4,10,7,1.43,157,,,,,,,,,,,,,,44,,,0.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,James Rheaume,Alvin College,Alvin College,Region 14,14,TX,44,RS FR,RHP,26,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,57,14,10,10,5,,1,6,23,0.246,0.389,0.386,4,1,,4,,3,,72,,,,,,,,,,,,,,26,,,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Ronnie Rouse,Alvin College,Alvin College,Region 14,14,TX,27,Fr,1B,31,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,102,25,15,17,3,,2,5,23,0.245,0.369,0.333,3,,,1,21,10,2.1,122,,,,,,,,,,,,,,31,,,0.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Hunter Henry,Alvin College,Alvin College,Region 14,14,TX,34,Fr,OF/INF,6,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,13,3,0,1,,,,0,2,0.231,0.375,0.231,2,,,,,1,,16,,,,,,,,,,,,,,6,,,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Ely Yahil Torres Cruz,Alvin College,Alvin College,Region 14,14,TX,26,Fr,OF,9,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,20,3,0,3,,,,0,8,0.15,0.32,0.15,2,,,,2,1,2,25,,,,,,,,,,,,,,9,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Sam Taylor,Alvin College,Alvin College,Region 14,14,TX,19,Fr,INF,20,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,56,8,6,7,1,,,1,15,0.143,0.273,0.161,3,,3,1,6,6,1,69,,,,,,,,,,,,,,20,,,0.43400000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Jordan Lowery,Alvin College,Alvin College,Region 14,14,TX,40,Fr,RHP,14,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,1,0,0,1,,,,0,,0,0.5,0,,,,,,,,2,,,,,,,,,,,,,,14,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Shane Jessen,Alvin College,Alvin College,Region 14,14,TX,24,SO,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,32,,11,,,,,42,,,,3,,,,,,,,2.75,1,1,18,0,6,39.1,20,12,9.61,1.09,140,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Cole Fenton,Alvin College,Alvin College,Region 14,14,TX,22,Fr,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,65,,27,,,4,,88,,,,4,,,,,,,,3.71,4,6,15,15,0,77.2,40,32,10.2,1.18,332,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Ethan Smith,Alvin College,Alvin College,Region 14,14,TX,23,Fr,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,21,,20,,,4,,23,,,,6,,,,,,,,5.23,1,3,15,2,0,31,24,18,6.68,1.32,106,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Asa Sampson,Alvin College,Alvin College,Region 14,14,TX,8,Fr,OF/RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,44,,29,,,,,36,,,,6,,,,,,,,5.36,2,2,14,5,0,42,34,25,7.71,1.74,199,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Aiden Fiala,Alvin College,Alvin College,Region 14,14,TX,9,Fr,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,62,,21,,,2,,46,,,,8,,,,,,,,5.88,2,3,13,11,0,52,42,34,7.96,1.6,250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Jordan Lowery,Alvin College,Alvin College,Region 14,14,TX,40,Fr,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,25,,13,,,,,19,,,,2,,,,,,,,6.27,2,1,14,1,1,18.2,19,13,9.16,2.04,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Justan Autry,Alvin College,Alvin College,Region 14,14,TX,20,RS SO,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,46,,25,,,6,,49,,,,3,,,,,,,,6.59,1,2,10,10,0,41,39,30,10.76,1.73,196,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Braeden Harris,Alvin College,Alvin College,Region 14,14,TX,36,SO,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,51,,24,,,2,,36,,,,9,,,,,,,,6.62,4,3,17,6,0,50.1,43,37,6.44,1.49,235,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
pitching,Francisco Leija,Alvin College,Alvin College,Region 14,14,TX,10,RS SO,RHP,,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=p,2026-08-28 16:30:21 CDT,,22,,18,,,1,,12,,,,1,,,,,,,,7.23,1,0,11,2,0,18.2,16,15,5.79,2.14,95,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
