program_name,stats_team_name,source_group,njcaa_region,state,source_kind,source_url,include
New Mexico Junior College,New Mexico Junior College,Region 5,5,NM,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicojuniorcollege?view=lineup&pos=f,TRUE
New Mexico Junior College,New Mexico Junior College,Region 5,5,NM,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicojuniorcollege?view=lineup&pos=h,TRUE
New Mexico Junior College,New Mexico Junior College,Region 5,5,NM,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicojuniorcollege?view=lineup&pos=p,TRUE
New Mexico Military Institute,New Mexico Military Institute,Region 5,5,NM,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicomilitaryinstitute?view=lineup&pos=f,TRUE
New Mexico Military Institute,New Mexico Military Institute,Region 5,5,NM,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicomilitaryinstitute?view=lineup&pos=h,TRUE
New Mexico Military Institute,New Mexico Military Institute,Region 5,5,NM,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/newmexicomilitaryinstitute?view=lineup&pos=p,TRUE
North Central Texas College,North Central Texas College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/northcentraltexascollege?view=lineup&pos=f,TRUE
North Central Texas College,North Central Texas College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/northcentraltexascollege?view=lineup&pos=h,TRUE
North Central Texas College,North Central Texas College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/northcentraltexascollege?view=lineup&pos=p,TRUE
Odessa College,Odessa College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/odessacollege?view=lineup&pos=f,TRUE
Odessa College,Odessa College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/odessacollege?view=lineup&pos=h,TRUE
Odessa College,Odessa College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/odessacollege?view=lineup&pos=p,TRUE
Ranger College,Ranger College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/rangercollege?view=lineup&pos=f,TRUE
Ranger College,Ranger College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/rangercollege?view=lineup&pos=h,TRUE
Ranger College,Ranger College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/rangercollege?view=lineup&pos=p,TRUE
South Plains College,South Plains College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/southplainscollege?view=lineup&pos=f,TRUE
South Plains College,South Plains College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/southplainscollege?view=lineup&pos=h,TRUE
South Plains College,South Plains College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/southplainscollege?view=lineup&pos=p,TRUE
Southwestern Christian College,Southwestern Christian College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/southwesternchristiancollege?view=lineup&pos=f,TRUE
Southwestern Christian College,Southwestern Christian College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/southwesternchristiancollege?view=lineup&pos=h,TRUE
Southwestern Christian College,Southwestern Christian College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/southwesternchristiancollege?view=lineup&pos=p,TRUE
Temple College,Temple College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/templecollege?view=lineup&pos=f,TRUE
Temple College,Temple College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/templecollege?view=lineup&pos=h,TRUE
Temple College,Temple College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/templecollege?view=lineup&pos=p,TRUE
Vernon College,Vernon College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/vernoncollege?view=lineup&pos=f,TRUE
Vernon College,Vernon College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/vernoncollege?view=lineup&pos=h,TRUE
Vernon College,Vernon College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/vernoncollege?view=lineup&pos=p,TRUE
Weatherford College,Weatherford College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/weatherfordcollege?view=lineup&pos=f,TRUE
Weatherford College,Weatherford College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/weatherfordcollege?view=lineup&pos=h,TRUE
Weatherford College,Weatherford College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/weatherfordcollege?view=lineup&pos=p,TRUE
Western Texas College,Western Texas College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/westerntexascollege?view=lineup&pos=f,TRUE
Western Texas College,Western Texas College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/westerntexascollege?view=lineup&pos=h,TRUE
Western Texas College,Western Texas College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/westerntexascollege?view=lineup&pos=p,TRUE
